CODLOCAL | DESCRLOCAL         | LOCAL_PATH                                       | LOCAL_PATH_CODES     | LOCAL_DEPTH | CODPROD | DESCRPROD                                | UNIDADE | MARCA      | NCM      | TOTAL_ESTOQUE     
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 10392   | ADAPTADOR RETO MACHO NPTF X MACHO JIC    | MM      | GENERICO   | 40103100 | 8                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 6255    | ADAPTADOR RETO MACHO UNF X MACHO METRICO | MM      | GENERICO   | 40103100 | 7                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 15274   | ADAPTADOR RETO ORJIC                     | MM      | GENERICO   | 40103100 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13956   | ADAPTADOR STORZ SEGURIMAX 2.1/2          | MM      | GENERICO   | 82042000 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 11712   | ADAPTADOR VALVULA JUMBO TRJ650           | MM      | GENERICO   | 84819090 | 10                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12591   | ADESIVO CAIXA PLASTICA CHASSI N8901610   | MM      | SOCAGE     | 87082999 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 11288   | ADESIVO EPOXI PEGATANK                   | MM      | GENERICO   | 35061090 | 4                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 7724    | ADESIVO EPOXI SIKADUR 52 LATA 1KG (A+B)  | MM      | SIKADUR    | 35069190 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 6360    | ADESIVO FIAT CALOTA  ARO14               | MM      | FIAT       | 87087090 | 4                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 9512    | ADESIVO PU BRANCO A BASE DE AGUA         | MM      | TEK BOND   | 32141010 | 4                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 4989    | ADESIVO SELADOR SILICONE DOWSIL 7091     | MM      | DOW        | 32141010 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 2200    | ADESIVO SILICONE ACETICO INCOLOR         | MM      | ORBI QUIMI | 32141010 | 15                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12185   | ADESIVO SILICONE POLIURETANO ORBIFLEX    | MM      | ORBI QUIMI | 39100012 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 11287   | ADITIVO A35 BLACK PRIME                  | MM      | BLACKPRIME | 39100012 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 8883    | ADITIVO ACELERADOR DE PEGA SIKA 3 PLUS   | MM      | GENERICO   | 35069190 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12912   | ADITIVO ORGANICO CONCENTRADO PARAFLU     | MM      | PARAFLU    | 38200000 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 2232    | ADITIVO ORGANICO PARA RADIADOR           | MM      | LUBRAX     | 38200000 | 5                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12097   | ADITIVO P/ COMBUSTIVEL DIESEL            | MM      | GENERICO   | 38140090 | 8                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3498    | AGUA DESMINERALIZADA PARA BATERIA        | MM      | GENERICO   | 22011000 | 11                
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3224    | ALARME SONORO MULTIVOLTAGEM DNI 0516     | MM      | DNI        | 85318000 | 5                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 9230    | ALAVANCA ABRIR CAPO LADO DIREITO 120868  | MM      | GENERICO   | 87084090 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3153    | ALAVANCA ACELERADOR HYSTER 1538162       | MM      | HYSTER     | 84312011 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 9085    | ALAVANCA DE ABERTURA CAPO MB 3448807020  | MM      | MERCEDES B | 87084090 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12585   | ALAVANCA DE PATOLA 51990061              | MM      | SOCAGE     | 90328100 | 4                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 4984    | ALAVANCA DE SETA XCMG                    | MM      | XCMG       | None     | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 4744    | ALAVANCA MUDANCA INTERNA CAIXA MARCHA    | MM      | EATON      | 84312011 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 7766    | ALCA PAINEL LADO ESQ. TJG857173          | MM      | GENERICO   | 84312011 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12288   | ALICATE DE BICO RETO EXTERNO             | MM      | BELZER     | 82032010 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12289   | ALICATE DE BICO RETO INTERNO             | MM      | BELZER     | 82032010 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 11533   | ALICATE DE CORTE DIAGONAL                | MM      | BELZER     | 82032010 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 11534   | ALICATE DE PRESSÃO MODELO 10"            | MM      | BELZER     | 82032010 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3427    | ALICATE P/ ANEIS EXTERNOS - BICO CURVO   | MM      | BELZER     | 82032010 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3426    | ALICATE P/ ANEIS EXTERNOS - BICO RETO    | MM      | BELZER     | 82032010 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3429    | ALICATE P/ ANEIS INTERNOS - BICO CURVO   | MM      | BELZER     | 82032010 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 3516    | ALICATE PORTA ELETRODO P/ SOLDA          | MM      | GENERICO   | 85159000 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 11537   | ALICATE UNIVERSAL                        | MM      | BELZER     | 82032010 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 4850    | AMORT. DE IMPACTO E VIBRAÇÃO             | MM      | VIBRA STOP | None     | 4                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 8301    | AMORTECEDOR CAPO MERCEDES 6829807164     | MM      | HYSTER     | 87082999 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12711   | AMORTECEDOR DO CAPO EMPILHADEIRA         | MM      | GENERICO   | 87082999 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 8375    | AMORTECEDOR GRADE CAPO CONSTELLATION     | MM      | HYSTER     | 87082999 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12305   | AMORTECEDOR TRASEIRO COFAP GB48167       | MM      | COFAP      | 87088000 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12292   | AMPERIMETRO ANALOGICO 0-50A REDONDO 52MM | MM      | LUKMA      | 85444900 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13500   | ANCORADOR CORRENTE CLII FURO SIMPLES     | MM      | GENERICO   | 84312011 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 5125    | ANEL ATF DE PTFE TEFLON APC              | MM      | None       | 73181600 | 5                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12136   | ANEL BACKUP CILINDRO INCLINACAO          | MM      | HYSTER     | 39269090 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13609   | ANEL BORRACHA 33.5X3.55GB3452.1 SANY     | MM      | SANY       | 73182400 | 6                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13606   | ANEL BORRACHA 69X3.55GB3452.1 SANY       | MM      | SANY       | 73182400 | 6                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13604   | ANEL BORRACHA GS 55X70.1X6.3 SANY        | MM      | GENERICO   | 40169300 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13236   | ANEL BORRACHA SANY                       | MM      | SANY       | 40169300 | 5                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 12122   | ANEL BORRACHA TADANO 53156005040         | MM      | TADANO     | 40169300 | 1                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13603   | ANEL BORRACHA ZBR 55X65X10 SANY          | MM      | SANY       | 40169300 | 3                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 7141    | ANEL DE APOIO BOSCH 0081332059 741       | MM      | GENERICO   | 29372229 | 4                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 13607   | ANEL DE BORRACHA MD 75X55X22.4 SANY      | MM      | GENERICO   | 40169300 | 2                 
101001   | ALMOX PECAS        | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | 2           | 6337    | ANEL DE PRESSAO HYSTER 1465072           | MM      | HYSTER     | 84312011 | 8                 
