CODLOCAL | CODPROD | DESCRLOCAL         | DESCRPROD                                | LOCAL_DEPTH | LOCAL_PATH                                       | LOCAL_PATH_CODES     | MARCA      | NCM      | TOTAL_ESTOQUE      | UNIDADE
101001   | 9218    | ALMOX PECAS        | CRUZETA CARDAN STAHL CZ252               | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | STAHL      | 87089990 | 2                  | MM     
101001   | 13751   | ALMOX PECAS        | CRUZETA CARDAN V ZM                      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | ZM         | 87089990 | 2                  | MM     
101001   | 3778    | ALMOX PECAS        | CUBO DE RODA NAKATA NKF 8093             | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | NAKATA     | None     | 1                  | MM     
101001   | 13419   | ALMOX PECAS        | CUBO RODA TRASEIRO 2S0501653A - 10FUROS  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87085099 | 1                  | MM     
101001   | 3919    | ALMOX PECAS        | CUICA DE FREIO ESTACIONARIO LNG 43428    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87083090 | 0                  | MM     
101001   | 11089   | ALMOX PECAS        | CUICA DE FREIO TRISTOP TRACAO            | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87083011 | 2                  | MM     
101001   | 2569    | ALMOX PECAS        | CUPILHA                                  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 73182400 | 1070               | MM     
101001   | 6071    | ALMOX PECAS        | CUPILHA HYSTER 15211                     | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | HYSTER     | 73182400 | 80                 | MM     
101001   | 12923   | ALMOX PECAS        | DEFLETOR COLUNA FRONTAL LADO DIREITO     | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | VOLKSWAGEN | 87089490 | 2                  | MM     
101001   | 12759   | ALMOX PECAS        | DEFLETOR COLUNA FRONTAL LADO ESQUERDO    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | VOLKSWAGEN | 87089490 | 3                  | MM     
101001   | 13418   | ALMOX PECAS        | DEFLETOR CUBO RODA TRAS. VW 2RP501222    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | STEEL      | 40169300 | 1                  | MM     
101001   | 13965   | ALMOX PECAS        | DEFLETOR EIXO PILOTO WF778               | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87089100 | 1                  | MM     
101001   | 12338   | ALMOX PECAS        | DEFLETOR INFERIOR RADIADOR 52036366      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | FIAT       | 87089100 | 1                  | MM     
101001   | 7277    | ALMOX PECAS        | DEFLETOR SAIA RADIADOR  VW 2T0121207A    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | VOLKSWAGEN | 87089100 | 1                  | MM     
101001   | 2197    | ALMOX PECAS        | DESCARBONIZANTE SPRAY                    | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 27101932 | 17                 | MM     
101001   | 2194    | ALMOX PECAS        | DESENGRIPANTE ANTIFERRUGEM SPRAY         | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | ORBI QUIMI | 27101932 | 10                 | MM     
101001   | 14684   | ALMOX PECAS        | DESENGRIPANTE ANTIFERRUGEM SPRAY         | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | LOCTITE    | 27101932 | 10                 | MM     
101001   | 6332    | ALMOX PECAS        | DESLIZANTE INFERIO CENTRAL HYSTER1467201 | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | HYSTER     | 84312011 | 2                  | MM     
101001   | 6327    | ALMOX PECAS        | DESLIZANTE INFERIOR DIR.  HYSTER1467145  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | HYSTER     | 84312011 | 3                  | MM     
101001   | 6328    | ALMOX PECAS        | DESLIZANTE INFERIOR ESQ  HYSTER1467146   | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | HYSTER     | 84312011 | 2                  | MM     
101001   | 6329    | ALMOX PECAS        | DESLIZANTE SUPERIOR DIR. HYSTER 1467147  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | HYSTER     | 84312011 | 1                  | MM     
101001   | 6330    | ALMOX PECAS        | DESLIZANTE SUPERIOR ESQ. HYSTER 1467148  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | HYSTER     | 84312011 | 1                  | MM     
101001   | 3214    | ALMOX PECAS        | DIAFRAGMA CUICA DE FREIO BINS            | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 87083011 | 23                 | MM     
101001   | 5741    | ALMOX PECAS        | DIAFRAGMA DE CUICA TIPO BINS             | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | BINS       | 40169300 | 9                  | MM     
101001   | 7103    | ALMOX PECAS        | DIAFRAGMA MIXER GAZ IMPCO HYSTER1650223  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | HYSTER     | 40169300 | 1                  | MM     
101001   | 11055   | ALMOX PECAS        | DIFUSOR AR DO PAINEL DA CABINE XCMG      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | XCMG       | 87089990 | 20                 | MM     
101001   | 14363   | ALMOX PECAS        | DIFUSOR AR ORIGINAL PALIO 100213127      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | FIAT       | 85365090 | 1                  | MM     
101001   | 7662    | ALMOX PECAS        | DIFUSOR DE AR CONDICIONADO 99707006529   | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 84799090 | 3                  | MM     
101001   | 3578    | ALMOX PECAS        | DIFUSOR PORTA BICO SOLDA MIG 15AK - 1MM  | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 85159000 | 5                  | MM     
101001   | 14965   | ALMOX PECAS        | DISCO DE CORTE 115X1,6X22,23MM AZUL      | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | NORTON     | 68042211 | 25                 | MM     
101001   | 7805    | ALMOX PECAS        | DISCO DE CORTE 12"                       | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 68042211 | 5                  | MM     
101001   | 2651    | ALMOX PECAS        | DISCO DE CORTE 4"                        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | CARBORUNDU | 68042211 | 50                 | MM     
101001   | 2652    | ALMOX PECAS        | DISCO DE CORTE 7"                        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | CARBORUNDU | 68042211 | 26                 | MM     
101001   | 11771   | ALMOX PECAS        | DISCO DE CORTE 7"                        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | CARBORUNDU | 68042211 | 25                 | MM     
101001   | 6164    | ALMOX PECAS        | DISCO DE CORTE 9"                        | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 68042211 | 30                 | MM     
101001   | 6029    | ALMOX PECAS        | DISCO DE CORTE DIAMANTADO                | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 68042211 | 14                 | MM     
101001   | 2654    | ALMOX PECAS        | DISCO DE DESBASTE 4"                     | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 68042211 | 11                 | MM     
101001   | 2655    | ALMOX PECAS        | DISCO DE DESBASTE 7"                     | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 68042211 | 89                 | MM     
101001   | 11770   | ALMOX PECAS        | DISCO DE DESBASTE 7"                     | 2           | GIGANTÃO > ALMOX MANUTENCAO > ALMOX PECAS        | 100000.101000.101001 | GENERICO   | 68042211 | 12                 | MM     
